Config,Val_Accuracy,Val_Macro_F1
"{'hidden': [6], 'grid': 3, 'k': 3, 'steps': 50, 'lr': 1.0}",0.7733507511430437,0.7318327371499708
"{'hidden': [10], 'grid': 3, 'k': 3, 'steps': 50, 'lr': 1.0}",0.7537557152188112,0.7019164909481939
"{'hidden': [6], 'grid': 5, 'k': 3, 'steps': 50, 'lr': 1.0}",0.7687785760940562,0.7249066421357687
"{'hidden': [10], 'grid': 5, 'k': 3, 'steps': 50, 'lr': 1.0}",0.75898105813194,0.7136969926904732
