Architecture,Grid,K,Steps,Seed,Accuracy,Macro_F1,Candidate_Precision,Candidate_Recall,Candidate_F1,Confirmed_Precision,Confirmed_Recall,Confirmed_F1,False_Positive_Precision,False_Positive_Recall,False_Positive_F1
"[[11, 0], [6, 0], [3, 0]]",8,3,100,42,0.7684265551489806,0.7206441326304341,0.5799373040752351,0.4671717171717172,0.5174825174825175,0.8113553113553114,0.8069216757741348,0.8091324200913242,0.8034351145038168,0.8698347107438017,0.8353174603174603
"[[11, 0], [6, 0], [3, 0]]",8,3,250,42,0.7626764244641924,0.7193985800705601,0.5688622754491018,0.4797979797979798,0.5205479452054795,0.806049822064057,0.825136612021858,0.8154815481548155,0.8023598820058997,0.8429752066115702,0.8221662468513853
"[[11, 0], [6, 0], [3, 0]]",8,3,500,42,0.7584945112388918,0.7107198524769555,0.5438066465256798,0.45454545454545453,0.49518569463548834,0.8123861566484517,0.8123861566484517,0.8123861566484516,0.7986447241045499,0.8522727272727273,0.8245877061469267
