Architecture,Grid,K,Steps,Seed,Accuracy,Macro_F1,Candidate_F1,Confirmed_F1,False_Positive_F1
"[[11, 0], [6, 0], [3, 0]]",8,3,100,42,0.7684265551489806,0.7206441326304341,0.5174825174825175,0.8091324200913242,0.8353174603174603
"[[11, 0], [8, 0], [3, 0]]",8,3,100,42,0.7564035546262415,0.7132962715707655,0.5039787798408488,0.8164726947179947,0.8194373401534527
"[[11, 0], [10, 0], [3, 0]]",8,3,100,42,0.7271301620491375,0.6783181408650041,0.4577656675749319,0.7799999999999999,0.7971887550200802
"[[11, 0], [10, 0], [5, 0], [3, 0]]",8,3,100,42,0.7255619445896497,0.6859074047763997,0.48258706467661683,0.7786116322701688,0.7965235173824131
