,acc,f1,cand_f1
Standard_CE,0.7733507511430437,0.7318327371499708,0.5299145299145299
Mild_Weighted_CE,0.7550620509470934,0.7155190681060439,0.5097402597402597
Focal_Loss,0.759634225996081,0.7135831781678531,0.49572649572649574
Label_Smoothing_CE,0.767472240365774,0.7148406870960554,0.47739602169981915
