Feature,Importance
koi_model_snr,0.16350824858730517
koi_prad,0.1356624148180723
koi_period,0.10602858186835329
koi_depth,0.09857444516377979
koi_duration,0.09631006402017045
koi_impact,0.09327721006841631
koi_insol,0.0779575562658716
koi_teq,0.07195030051865187
koi_steff,0.0562103464158514
koi_srad,0.05122448277808691
koi_slogg,0.049296349495440935
