Model,Mean_Accuracy,Std_Accuracy,Mean_Macro_F1,Std_Macro_F1,Mean_Candidate_F1,Std_Candidate_F1,Mean_Confirmed_F1,Std_Confirmed_F1,Mean_False_Positive_F1,Std_False_Positive_F1
Random Forest,0.770517511761631,0.010597561386677095,0.7290778612389638,0.011029778018663757,0.5309815343541742,0.01582657331755341,0.8294763807972478,0.013958034558078708,0.8267756685654692,0.009681971260219352
XGBoost,0.7815995818086774,0.004810904491309357,0.7393454372278665,0.004597283061702773,0.541554361612382,0.00791866273629973,0.8363107111444595,0.00562767546680518,0.8401712389267578,0.004790161363460613
KAN,0.763199163617355,0.008445109472767104,0.7175837091497987,0.010677425754834342,0.5018544836156846,0.020546785974707937,0.8256039156032001,0.013171842015460788,0.8252927282305114,0.009266884157979386
